top_year,artist,song,released,url,id
1947,Count Basie,"Open The Door, Richard!", , ,not_found
1947,Freddy Martin,"Managua, Nicaragua",2019,https://open.spotify.com/track/4Yfcg83bpPnWt1hPBBifvD,4Yfcg83bpPnWt1hPBBifvD
1947,Ted Weems,Heartaches,2011,https://open.spotify.com/track/2UxSBKIO6ZsvJxLjYCVsqr,2UxSBKIO6ZsvJxLjYCVsqr
1947,Art Lund,Mam'selle, , ,not_found
1947,The Harmonicats,Peg O' My Heart,2020,https://open.spotify.com/track/4jHfLOPw68qACccPs4wY1o,4jHfLOPw68qACccPs4wY1o
1947,Perry Como,"Chi-Baba, Chi-Baba (My Bambino Go to Sleep)",2000,https://open.spotify.com/track/6xzy90X2s9OLYhQo2yiLuR,6xzy90X2s9OLYhQo2yiLuR
1947,The Harmonicats,Peg O' My Heart,2020,https://open.spotify.com/track/4jHfLOPw68qACccPs4wY1o,4jHfLOPw68qACccPs4wY1o
1947,Tex Williams,Smoke! Smoke! Smoke! (That Cigarette),1960,https://open.spotify.com/track/7nskxCYXAwoKiJkZzUMcJo,7nskxCYXAwoKiJkZzUMcJo
1947,Francis Craig,Near You,2001,https://open.spotify.com/track/0i7GVS1YRgSOvqNz1Ganhl,0i7GVS1YRgSOvqNz1Ganhl
1947,Vaughn Monroe,Ballerina,2000,https://open.spotify.com/track/4oWAPkz8r8QalKqvXLmWFo,4oWAPkz8r8QalKqvXLmWFo
1948,Art Mooney,I'm Looking Over a Four Leaf Clover, , ,not_found
1948,Peggy Lee,Mañana (Is Soon Enough for Me),1998,https://open.spotify.com/track/3baBjQISAznjkg8WwzipPM,3baBjQISAznjkg8WwzipPM
1948,Nat King Cole,Nature Boy,1991,https://open.spotify.com/track/2WMyu5IYgxEuCd6xgFgJrl,2WMyu5IYgxEuCd6xgFgJrl
1948,Kay Kyser,Woody Wood-Pecker,1990,https://open.spotify.com/track/4a5fzw7uaQJsRX1XFzr3NH,4a5fzw7uaQJsRX1XFzr3NH
1948,Al Trace,You Call Everybody Darlin', , ,not_found
1948,Pee Wee Hunt,Twelfth Street Rag,2014,https://open.spotify.com/track/0Ec85AbUzt5SRDnsiBodml,0Ec85AbUzt5SRDnsiBodml
1948,Margaret Whiting,A Tree In The Meadow,1954,https://open.spotify.com/track/4RKMHiQ1sQCJVcPEbqcXR2,4RKMHiQ1sQCJVcPEbqcXR2
1948,Pee Wee Hunt,Twelfth Street Rag,2014,https://open.spotify.com/track/0Ec85AbUzt5SRDnsiBodml,0Ec85AbUzt5SRDnsiBodml
1948,Dinah Shore,Buttons And Bows,1991,https://open.spotify.com/track/0NKok6O1Sl5AIib4CRRHGY,0NKok6O1Sl5AIib4CRRHGY
1949,Spike Jones,All I Want For Christmas (Is My Two Front Teeth),1999,https://open.spotify.com/track/0SorhWEyl6wkQ6vYAQt2D0,0SorhWEyl6wkQ6vYAQt2D0
1949,Dinah Shore,Buttons and Bows,1991,https://open.spotify.com/track/0NKok6O1Sl5AIib4CRRHGY,0NKok6O1Sl5AIib4CRRHGY
1949,Evelyn Knight,A Little Bird Told Me,1998,https://open.spotify.com/track/4kLzeK6snErmNUofhzucrX,4kLzeK6snErmNUofhzucrX
1949,Blue Barron,Cruising Down the River, , ,not_found
1949,Russ Morgan,Cruising Down the River,1966,https://open.spotify.com/track/7bVD6VV422a8Y9PqfCksWG,7bVD6VV422a8Y9PqfCksWG
1949,Vaughn Monroe,Riders in the Sky (A Cowboy Legend),2010,https://open.spotify.com/track/6llTPEB5phgi7Pf1yx3fzJ,6llTPEB5phgi7Pf1yx3fzJ
1949,Perry Como,Some Enchanted Evening,1988,https://open.spotify.com/track/0MVjP6RWqGXygcgxRYfP3V,0MVjP6RWqGXygcgxRYfP3V
1949,Kiss,I Find Snake Girl Love You Baby, , ,not_found
1949,Frankie Laine,That Lucky Old Sun,1989,https://open.spotify.com/track/6wRF7wuqtAQzCxzDvzupO0,6wRF7wuqtAQzCxzDvzupO0
1949,Frankie Laine,Mule Train,1961,https://open.spotify.com/track/5JfBJxARIfhyjXOaBwSt2t,5JfBJxARIfhyjXOaBwSt2t
